name,description
אקיקו Yano,אקיקו Yano הואפופ יפני ומוסיקאי הג'אזוהזמר. 
אקים טאמירוף,אקי\ם מיכאילוביץ' טאמירוף (רוסית : Аким Михайлович Тамиров ; לידת השם ` Hovakim 
אל Maqrizi,תקי אלדין אבו אל - עבאס אחמד אבן עלי אבן עבד אל - קאדר בן מוחמד אל - Maqrizi (1364 - 1442) 
אל מוזפר עמר,אל מוזפר תקי אלדין עמר (נפטר 1191) היה הנסיך האיובי של חאמה 1179-1191וכללי של צלאח . 
אל אנדרסון (יילרס ), 
אל ארבור,\ Radar \ אלגר יוסף ארבור (נולד ב 1 נובמבר 1932בסאדברי 
אל אטקינס,אלן ג 'ון \ אל \ אטקינס היאסולן מטאל אנגלית
אל Attles,אלווין א \ אל \ Attles ג'וניור (נולד ב 7 נובמבר 1936 בניוארק
אל Bangura,אלחסן \ אל \ Bangura הוא כדורגלן סייר לאונה שמשחקלפורסט גרין רוברסכקשר אחורי . 
אל Bowlly, 
אל דקסטר,אל דקסטר (4 במאי 
אל פוסטר,אל פוסטר (נולד 18 ינואר 1943 בריצ'מונד
אל פרנקן,אלן סטיוארט \ אל \ פרנקן (נולד 21 מאי 1951 ) הואפוליטיקאי אמריקאי וארצות הברית הסנטור הזוטר ממינסוטה 
אל הנסן, 
אל Hibbler,אלברט ג'ורג' \ אל \ Hibbler ( 16 אוגוסט 1915 - 24 אפריל 2001) היההזמר בריטון אמריקאי
אל Iafrate,אלברט אנתוני Iafrate הואdefenseman בדימוס אמריקאי מקצועי הוקי קרח ששיחקבליגה הלאומית הוקי בין 1984ו1998. הוא הוא אולי מפורסם ביותר עבור זריקת סטירת הרקטות שלו 
אל יפה,אברהם יפה (נולד 13 מרס 1921 ) 
אל ג'ארדין,אלן צ'ארלס \ אל \ ג'רדין ( נולד ב -3 בספטמבר 1942) הוא חבר מייסד של קבוצת המוזיקה האמריקניתנערי החוף 
אל Jarreau,אלווין \ אל \ לופז Jarreau (נולד 12 מרס 1940 ) הואפרס גראמי שבע פעמים מנצחים זמרת הג'אז אמריקנית.
אל קופר,אל קופר (נולד אלן פיטר Kuperschmidt ; פבואר 5
אל מונטויה,אלבארו \ אל \ מונטויה (נולד 13 פבואר 1985 ) הואgoaltender המקצועי אמריקאי הוקי קרח כרגע משחק עלהג'טס וויניפג של הליגה הלאומית להוקי ( NHL). 
אל סטיוארט, 
אלן CUNY,אלן CUNY ( 12 יולי 1908 - 16 מאי 1994) היהשחקן צרפתי . 
אלן Daniélou,אלן Daniélou ( 4 אוקטובר 1907 - 27 ינואר 1994) היההיסטוריון צרפתי 
אלן אלדה,אלפונסו יוסף ד ' אברוצו (נולד 28 ינואר 1936 ) 
אלן ארקין,אלן וולף ארקין (נולד 26 מרס 1934 ) הואשחקן
אלן בול ,אלן ג'יימס בול הבן
אלן שעועית,אלן לברן שעועית ( נולד 15 מרס 1932 ) הואאסטרונאוט נאס\א לשעברוכיוםצייר. 
אלן אזרחי, 
אלן קרייג,אלכסנדר אלן קרייג היה המנהיג שלברית העמים הנוצריים 2004-2013 
אלן דייל,אלן דייל יו ( נולד ב -6 במאי 1947) הוא שחקן ניו זילנד. 
אלן דרשוביץ,אלן מורטון דרשוביץ (נולד ב 1 בספטמבר 1938) הואעורך דין אמריקאי
אלן א Nourse,אלן אדוארד Nourse ( 11 אוגוסט 1928 - 19 יולי 1992) היהסופר מדע בדיוני אמריקאי (SF )ורופא. 
אלן גרסיה,אלן גבריאל גרסיה פרז לודוויג (נולד 23 מאי 1949 ) הוא עורך דין פרואני 
אלן גרנט (סופר),אלן גרנט (נולד 1949) הוא סופר קומיקס סקוטי ידוע לכתיבת השופט Dreddב2000 לספירה 
אלן גות,אלן הארווי גוט (נולד 27 פבואר 1947 ) הואפיזיקאי תיאורטי אמריקאיוהקוסמולוג . 
אלן הייל,אלן הייל
אלן יום,אלן יום
אלן שלישי,אלן III של רן (997-1 1040 אוקטובר) היה רוזן של רןודוכס של בריטני 
אלן ג 'יי Charig,אלן ג'ק Charig ( 1 יולי 1927 - 15 יולי 1997) היההפליאונטולוג אנגלי וסופר שפופולרי הנושא שלו בטלביזיה ובספרים בתחילתהגל של עניין בדינוזאורים של 1970s. 
אלן ג'יי לרנר,אלן ג'יי לרנר ( 31 אוגוסט 1918 - 14 ביוני 1986) הייתהפזמונאי ותמלילן אמריקאי. 
אלן קוטוק, 
אלן לנקסטר,אלן לנקסטר הואהבסיסטולשעבר חבר מייסד של להקת הרוק האנגלית
אלן מגי, 
אלן פרז,אלן פרז Lezaun הואאופני כביש מקצועיים רוכב בדימוס ספרדי. 
אלן פרטרידג',אלן גורדון פרטרידג' הואמגיש רדיו וטלוויזיה בדיוני בגילומו של הקומיקאי האנגלי סטיב קוגןוהומצא על ידי קוגן
אלן מחיר,אלן המחיר הואמוסיקאי אנגלי 
אלן ראק,אלן ראק (נולד ב 1 יולי 1956 ) הואסרט אמריקאי 
אלן Rusbridger,אלן צ'ארלס Rusbridger (נולד 29 דצמבר 1953 ) הואהעורך הראשי של העיתון הבריטי The Guardian
אלן ס ' קאופמן,אלן ס ' קאופמן ( נולד באפריל 1944) הואפרופסור לפסיכולוגיה אמריקנית ידוע עבור עבודתו על מבחני אינטליגנציה .
אלן סילבה,אלן סילבה ( אלן Treadwell דה סילבה נולדה
אלן סילבסטרי,אלן אנתוני סילבסטרי (נולד 26 מרס 1950 ) הואמלחין אמריקאי ומנצח שעובד בעיקר בקולנוע ובטלביזיה. 
אלן סוקאל,אלן סוקאל דוד הואפרופסור למתמטיקה באוניברסיטת קולג' בלונדוןופרופסור לפיסיקה באוניברסיטת ניו יורק. 
אלן טייסון,אלן ווקר טייסון ( 27 אוקטובר 1926 - 10 נובמבר 
אלן ווטס, 
אלן וודס ( תיאורטיקן פוליטי ),אלן וודס הוא תיאורטיקן פוליטי טרוצקיסטיומחבר. 
Alassane ודראוגו,Alassane ודראוגו (נולד ב 7 ספטמבר 1980בBoussouma ) הואקשר אחורי כדורגל Burkinabé שמשחק עבור SpVgg EGC Wirges .
אלאונגפיה,אלאונגפיה (מאוית גם Alaunghpaya ; 24 ספטמבר 1714 - 11 מאי 1760) היה מלך בורמה ( מיאנמר ) 1752-1760 
אלבה Rohrwacher,אלבה Caterina Rohrwacher (נולד 27 פבואר 1980 ) היא שחקנית איטלקית. 
אלבן של מיינץ,סנט אלבן מיינץ היה כומר 
אלבנו Carrisi,אלבנו Carrisi (נולד ב 20 מאי 1943) 
אלבנה Denkova,אלבנה Denkova (נולד 3 דצמבר 1974 בסופיה ) הוארקדן קרח בולגרי. 
אלברט ,אלברט מריה Lamoral יגל יוהנס גבריאל 
אלברט ,אלברט מריה יוסף מקסימיליאן Lamoral 
אלברט אדו Boahen,אלברט Kwadwo אדו Boahen ( 24 מאי 1932 - 24 מאי 2006) היה
אלברט אלברטס,אלברט אלברטס 
אלברט Apponyi,רוזן אלברט Apponyi דה Nagyappony (29 מאי 1
סתיו אלברט B.,סתיו אלברט בייקון ( 26 נובמבר 1861 - 30 נובמבר 1944) היהארצות הברית סנטור מניו מקסיקוושרהפנים תחת הנשיא וורן הרדינג 
אלברט Bassermann,אלברט Bassermann ( 7 ספטמבר 1867 - 15 מאי 1952) היה שלב גרמני ושחקן מסך. 
אלברט Batteux,אלברט Batteux (2 ביולי 
אלברט Bessler,אלברט Bessler (15 פברואר 1
אלברט Bierstadt,אלברט Bierstadt ( 7 ינואר 1830 - 18 פברואר 1902) היה צייר גרמני האמריקאי הידוע בעיקר בזכות נופיומפוארים
אלברט בלאושטיין,אלברט פול בלאושטיין (12 באוקטובר 1921-1994 ) היהעורך דין אמריקאי לזכויות אזרח וזכויות אדם ויועץ חוקתי מומחה שעזר לנסחחוקות פיג'יוליבריה 
אלברט Brudzewski,אלברט Brudzewski 
אלברט בארנס ג, 
אלברט Capellani,אלברט Capellani ( 23 אוגוסט 1874 - 26 ספטמבר 1931 ) היההבמאי צרפתי סרט ותסריטאי של העידן האילם . 
אלברט קולינס,אלברט קולינס (1 באוקטובר 1932 - 24 נובמבר 1993 ) היהגיטריסט בלוז החשמלי אמריקאיוהזמר (ונגן מפוחית ​​פה ) הקלטהשקריירה החלה ב 1960s ביוסטוןותהילהשהסוף של דבר לקח אותו לשלבי ברחבי צפון אמריקה
אלברט Cossery,אלברט Cossery (3 נובמבר 1913-1922 יוני 2008) היהסופר יליד מצרים צרפתי ממוצא הסורי 
אלברט Decourtray,אלברט פלורן אוגוסטין Decourtray S.T.D. 
אלברט Deullin,Capitaine אלברט לואיס Deullin היהעף אס מלחמת העולם הראשון זוכה עם עשרים נצחונות אוויריים. 
אלברט פ Mummery,אלברט פרדריק Mummery 
אלברט Florath,אלברט פיטר האדם Florath (7 בדצמבר 1888
אלברט פורסטר,אלברט מריה פורסטר ( 26 יולי 1902 - 28 פברואר 1952) היה פוליטיקאי גרמני נאצי. 
אלברט גרינג,Albert Günther Göring ( 09 de marco de 1895 - 20 Dezembro 1966) foi um empresário alemão
אלברט Ghiorso,אלברט Ghiorso ( 15 יולי 1915 - 26 דצמבר 2010) היהמדען גרעין אמריקאיושותף לגילוישיא 12 יסודות כימייםבטבלה המחזורית. 
אלברט Gleizes,אלברט Gleizes ( 8 דצמבר 1881 - 23 יוני 1953) 
אלברט גור,אלברט ארנולד \ אל \ גור
אלברט גוטשלק,אלברט גוטשלק ( 3 יולי 1866 - 13 פברואר 1906) היה צייר דני. 
אלברט האמונד,אלברט לואי המונד OBE (נולד ב -18 מאי 1944) הואהזמר אנגלי
אלברט הופמן,אלברט הופמן ( 11 ינואר 1906 - 29 אפריל 2008) היה מדען שוויצרי ידוע בעיקר בזכות היותוהאדם הראשון שסנתז 
אלברט השני ,אלברט השני 
אלברט שלישי,אלברט III (27 ינואר 1443-1412 1500 ספטמבר) היהדוכס של סקסוניה. 
אלברט הרביעי ,אלברט הרביעי
אלברט Kivikas,אלברט Kivikas 18 (בינואר 1898-1819 מאי 1978) היהסופר ועיתונאי אסטונית . 
אלברט L. Lehninger,אלברט לסטר Lehninger ( 17 פבואר 1917 - 4 במרץ 
אלברט לי,אלברט ויליאם לי ( נולד ב -21 דצמבר 1943)בLingen 
אלברט מנגלסדורף,אלברט מנגלסדורף ( 5 ספטמבר 1928 בפרנקפורט
אלברט ריכטר,אלברט ריכטר (נולד בקלן 
אלברט סארו,אלברט פייר סארו היה פוליטיקאי רדיקלי צרפתי
אלברט סובר,אלברט סובר (21 ביוני 1863 בלובן
אלברט שץ (מדען ),אלברט שץ (2 בפברואר 1920-1917 ינואר 2005) היהשותף לגילוי סטרפטומיצין
אלברט שפאר,אלברט שפר (נולד 29 יולי 1934 בברלין ) הואאדריכל גרמני ומתכנן ערים . 
אלברט V ,אלברט V (24 במאי 1648-6 August 1699) 
אלברט ואן דאם,אלברט \ Berten \ ואן דאם ( נולד ב -1 בדצמבר 1940) הואסקל חוצה בלגי לשעבר. 
אלברט וו טאקר,Albert W. Tucker {{
אלברט וידמן,אלברט וידמן ( 8 יוני 1912 - 24 דצמבר 1986) היוקצין אס אסוכימאי גרמני שעבד בתכנית המתת חסד הפעולה T4 בתקופת המשטר של גרמניה הנאצית.
אלברט של לובן,סנט אלברט מלווין או אלברט לובן (כ Brabant 1166 - 24 נובמבר 1192 - יש אומר 24 נובמבר 1191 
אלברטה האנטר,אלברטה האנטר ( 1 אפריל 1895 - 17 אוקטובר 
אלברטה ווטסון,אלברטה ווטסון (נולד ב 6 מרס 1955 ) הוא סרט קנדיושחקנית טלוויזיה .
אלברטינה Sisulu,Nontsikelelo אלברטינה Sisulu ( 21 אוקטובר 1918 - 2 יוני 2011) היה פעיל שחורה בדרום אפריקה נגד אפרטהייד 
אלברטו אנג'לה,אלברטו אנג'לה (נולד ב 8 אפריל 1962 ) הואפליאונטולוג איטלקי וpopularizer המדעי.
אלברטו Bevilacqua,אלברטו Bevilacqua (נולד ב -27 יוני 1934
אלברטו Bovone, 
אלברטו דה מרטינו,אלברטו דה מרטינו (נולד 12 יוני 1929 ) היאבמאי קולנוע איטלקי ותסריטאי. 
אלברטו גונזלס,אלברטו גונזלס ר ' (נולד ב 4 אוגוסט 1955 ) היה80th 
אלברטו גררו,אנטוניו אלברטו גרסיה גררו ( 6 פבואר 1886 - 7 נובמבר 1959 ) היה מלחין צ'יליאני קנדי 
אלברטו הנשל,אלברטו הנשל ( 13 יוני 1827 - 30 יוני 1882) היהצלם גרמני ברזילאי שנולד בברלין. 
אלברטו Kalach,אלברטו Kalach (נולד 1960) הואאדריכל מקסיקני.
אלברטו Lattuada,אלברטו Lattuada (13 בנובמבר 1
אלברטו Magnelli,אלברטו Magnelli ( 1 יולי 1888 - 20 אפריל 1971) היהצייר איטלקי מודרני שהיה דמות משמעותיתבתנועת אמנות בטון שלאחר המלחמה .
אלברטו Marvelli,אלברטו Marvelli (21 במארס 1918-5 אוקטובר 1946) היהחבר איטלקי שלהפעולה הקתולית. 
אלברטו מדינה,אלברטו מדינה Briseño הוא כדורגלן מקסיקני. 
אלברטו Paloschi,אלברטו Paloschi הואכדורגלן איטלקי שמשחק כחלוץלסרייה A מועדון קייבו 
אלברטו ריברה,אלברטו Magno רומרו ריברה ( 19 ספטמבר 1935 - 20 ביוני 1997) הייתהפעילה אנטי דתית קתולי שהיההמקור לרבים מתאוריות הקונספירציה של הסופר נוצרי הפונדמנטליסטי ג'ק צ'יק על הוותיקן. 
אלברטו Tarantini, 
אלברטו Vázquez - פיגרואה,אלברטו Vázquez - פיגרואה היאסופר ספרדי. 
אלברטו ורגס,אלברטו ורגאס ( 9 פבואר 1896 - 30 דצמבר 1982) היה צייר פרואני ציין של נערות פין -up. 
